geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,accessibility_index,pop_density_per_sq_km,ZONE_NAME,WARD_NO
"POLYGON ((75.68841296805068 26.863370860870237, 75.68846763500201 26.872398970874453, 75.69853465558555 26.872349575639674, 75.69847918943172 26.86332148485362, 75.68841296805068 26.863370860870237))",POINT (75.69347361201922 26.86786031411106),,10081117619,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",0,0.0,20.0,14.0,14.0,2.142857142857143,0.5,1.0714285714285714,4127.213848731749,,
"POLYGON ((75.68846763500201 26.872398970874453, 75.68852232764169 26.881427069240747, 75.69859014780323 26.881377654784792, 75.69853465558555 26.872349575639674, 75.68846763500201 26.872398970874453))",POINT (75.69352869150985 26.876888408721683),,6880270038,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",857,14.283333304766666,20.0,14.0,28.283333304766664,1.0606953457973085,0.5,0.5303476728986541,4127.213848731749,,
"POLYGON ((75.68852232764169 26.881427069240747, 75.68857704597853 26.890455155966396, 75.69864566609371 26.890405722286314, 75.69859014780323 26.881377654784792, 75.68852232764169 26.881427069240747))",POINT (75.69358379688101 26.88591649169154),,5318063327,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",1806,30.0999999398,20.0,14.0,44.0999999398,0.6802721097721628,0.5,0.3401360548860814,4127.213848731749,,
"POLYGON ((75.68857704597853 26.890455155966396, 75.68863179002129 26.899483231048684, 75.6987012104659 26.899433778141496, 75.69864566609371 26.890405722286314, 75.68857704597853 26.890455155966396))",POINT (75.69363892814158 26.894944563017916),,8628251472,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",4016,66.93333319946666,20.0,14.0,80.93333319946666,0.3706754536608866,0.5,0.1853377268304433,4127.213848731749,,
"POLYGON ((75.68863179002129 26.899483231048684, 75.68868655977882 26.908511294484935, 75.69875678092876 26.90846182234766, 75.6987012104659 26.899433778141496, 75.68863179002129 26.899483231048684))",POINT (75.69369408530042 26.903972622698113),,5318113334,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",2980,49.66666656733333,16.0,12.0,61.66666656733333,0.4864864872701242,0.5,0.2432432436350621,4127.213848731749,,
"POLYGON ((75.68868655977882 26.908511294484935, 75.6887413552599 26.91753934627244, 75.69881237749121 26.91748985490211, 75.69875678092876 26.90846182234766, 75.68868655977882 26.908511294484935))",POINT (75.69374926836639 26.913000670729435),,3784479880,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",2218,36.96666659273333,16.0,12.0,48.96666659273333,0.6126616755336172,0.5,0.3063308377668086,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.6887413552599 26.91753934627244, 75.68879617647337 26.926567386408518, 75.69886800016216 26.92651787580213, 75.69881237749121 26.91748985490211, 75.6887413552599 26.91753934627244))",POINT (75.69380447734838 26.922028707109174),,3784480252,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",1080,17.999999964,16.0,12.0,29.999999964,1.0000000012,0.5,0.5000000005999999,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.68879617647337 26.926567386408518, 75.68885102342807 26.935595414890447, 75.69892364895064 26.935545885045038, 75.69886800016216 26.92651787580213, 75.68879617647337 26.926567386408518))",POINT (75.69385971225529 26.931056731834637),,7085538327,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",5544,92.3999998152,16.0,12.0,104.3999998152,0.2873563223477342,0.5,0.1436781611738671,4127.213848731749,,
"POLYGON ((75.69842374933285 26.854293382429365, 75.69847918943172 26.86332148485362, 75.70854538475781 26.86327139220521, 75.70848914584074 26.85424330927503, 75.69842374933285 26.854293382429365))",POINT (75.70348436734251 26.858782483206664),,10227722145,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",4817,80.28333317276666,20.0,14.0,94.28333317276666,0.3181898538210078,0.5,0.1590949269105039,4127.213848731749,,
"POLYGON ((75.69847918943172 26.86332148485362, 75.69853465558555 26.872349575639674, 75.70860165010522 26.87229946349416, 75.70854538475781 26.86327139220521, 75.69847918943172 26.86332148485362))",POINT (75.70354021997181 26.867810570099223),,8610974703,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",3744,62.3999998752,20.0,14.0,76.3999998752,0.3926701577094926,0.5,0.1963350788547463,4127.213848731749,,
