geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,bus_ptal,pop_density_per_sq_km,ZONE_NAME,WARD_NO,index_right,metro_ptal,accessibility_index,population_density,pop_density_cat,accessibility_cat,bivariate_cat
"POLYGON ((75.84021856716573 26.792868104234255, 75.84069175505344 26.788213065695658, 75.84571499193355 26.786305135039285, 75.85026544467769 26.78905190074006, 75.84979292434737 26.79370698072903, 75.8447692837026 26.795615253598907, 75.84021856716573 26.792868104234255))",POINT (75.8452421534189 26.79096017339389),,9603133742,POINT (583507.229814946 2964580.8345124293),4805541837.0,DWARKA PURI,3,1333.0,22.216666622233333,20.0,14.0,36.21666662223333,0.8283479071368502,0.5,0.4141739535684251,4349.745063944651,,,43,0.1099706747002949,0.5241446282687201,4349.745063944651,A,1,1A
"POLYGON ((75.7792295985973 26.963834798152998, 75.77970829725894 26.959169941896057, 75.78474664673884 26.957259355093882, 75.78930670461354 26.960013282468218, 75.78882867679096 26.964678181126565, 75.78378992024142 26.966589110041323, 75.7792295985973 26.963834798152998))",POINT (75.78426829958505 26.96192421181197),,3901400244,POINT (577970.8764481898 2982502.0051072054),2414234241.0,VIDHYADHAR THANA,9A,170.0,2.8333333276666663,8.0,8.0,10.833333327666669,2.76923077067929,1.0,2.76923077067929,4349.745063944651,,,433,0.300450676566778,3.069681447246068,4349.745063944651,A,3,3A
"POLYGON ((75.74660627646219 26.904496067466756, 75.74708684920549 26.899834578184315, 75.75212194240203 26.897926725917543, 75.75667686985045 26.900680021378353, 75.75619696668299 26.905341553671285, 75.75116146647798 26.907249747524986, 75.74660627646219 26.904496067466756))",POINT (75.75164172072695 26.902588215945663),,3659487058,POINT (574853.6189018721 2975286.8758732784),5481779886.0,PURANI CHUNGI AGRA ROAD,"14,32",875.0,14.583333304166668,35.0,21.5,36.083333304166665,0.8314087766535637,0.5,0.4157043883267818,7040.169507426792,JHOTWARA ANSIK,13.0,80,0.6241331494455036,1.0398375377722853,7040.169507426792,B,3,3B
"POLYGON ((75.80028287461471 26.852794141585836, 75.80075929775596 26.848135640671664, 75.80578851621426 26.84622739800868, 75.81034171681414 26.84897731430542, 75.80986596233747 26.853635857326534, 75.80483633858324 26.85554444197602, 75.80028287461471 26.852794141585836))",POINT (75.8053124432975 26.850885899139673),,3787808869,POINT (580425.2320770696 2969709.1958344243),3785003115.0,SECTOR 10 PRATAP NAGAR,3,969.0,16.149999967699998,11.0,9.5,25.6499999677,1.1695906447476718,0.5,0.5847953223738359,11879.50554999109,MALVIYA NAGAR,37.0,284,0.2645113891764981,0.849306711550334,11879.50554999109,B,2,2B
"POLYGON ((75.70417461167368 26.893691461789942, 75.70465809543263 26.889030567962546, 75.7096939432722 26.88712444849306, 75.71424671507357 26.889878881774553, 75.71376390057532 26.89453981936058, 75.70872764500157 26.896446279938537, 75.70417461167368 26.893691461789942))",POINT (75.70921081070567 26.891785343463475),,8629131330,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,"26,32",1930.0,32.16666660233333,120.0,64.0,96.16666660233332,0.3119584057546204,0.5,0.1559792028773102,2634.526421058386,JHOTWARA ANSIK,12.0,415,0.2107234843593661,0.3667026872366763,2634.526421058386,A,1,1A
"POLYGON ((75.70707449888022 26.865730098644164, 75.70755757659929 26.86107080502249, 75.71259121480242 26.859165354409523, 75.71714218260834 26.861918856398308, 75.71665977359795 26.866578193745596, 75.71162572805953 26.868483985410514, 75.70707449888022 26.865730098644164))",POINT (75.71210848796609 26.863824649134987),,8610729097,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,2414.0,40.233333252866665,11.0,9.5,49.733333252866665,0.6032171591529264,0.5,0.3016085795764632,4127.213848731749,SANGANER,29.0,241,0.2107234843593661,0.5123320639358293,4127.213848731749,A,1,1A
"POLYGON ((75.73583058926162 26.868272429974773, 75.73631166073645 26.863613005679866, 75.74134442861187 26.86170651308961, 75.74589653178506 26.864459103465048, 75.74541612913688 26.869118570981936, 75.74038295447556 26.871025404933448, 75.73583058926162 26.868272429974773))",POINT (75.74086370788568 26.866365938217204),,8642294503,POINT (574999.4684131983 2972427.6289164224),3783124425.0,SWARAN PATH,23,1889.0,31.483333270366664,11.0,9.5,40.98333327036666,0.7320048811571837,0.5,0.3660024405785918,4127.213848731749,SANGANER,29.0,490,0.2107234843593661,0.5767259249379579,4127.213848731749,A,1,1A
"POLYGON ((75.80150161628919 26.88816250467908, 75.80197820535565 26.88350198091337, 75.80701003619991 26.88159272180283, 75.81156568366433 26.8843436443801, 75.81108976397213 26.889004210207997, 75.80605752742818 26.89091381142853, 75.80150161628919 26.88816250467908))",POINT (75.80653379772149 26.88625324578807),,9024232998,POINT (579715.7549073561 2974158.670717957),8044665287.0,GANDHI NAGAR MOD,"AC2,3,3A,6A,7,9A,11,AC1,28,16,27,AC7,23,34",501.0,8.3499999833,8.0,8.0,16.349999983300002,1.8348623871952408,1.0,1.8348623871952408,11317.276367128756,MALVIYA NAGAR,45.0,531,0.2107234843593661,2.0455858715546067,11317.276367128756,B,3,3B
"POLYGON ((75.83273806217198 26.961467765600403, 75.83321297083614 26.95680307744194, 75.83824915332818 26.954890742454126, 75.84281083309837 26.957642752992406, 75.84233659534625 26.962307482617753, 75.83730000689889 26.964220160270045, 75.83273806217198 26.961467765600403))",POINT (75.8377745958442 26.959555430565917),,8594279831,POINT (583575.1885564658 2981447.010486668),3993089115.0,GATTA,AC1,1208.0,20.133333293066663,35.0,21.5,41.63333329306667,0.7205764618658578,0.5,0.3602882309329289,11430.923894279844,HAWA MAHAL,75.0,195,0.3257918557985954,0.6860800867315243,11430.923894279844,B,2,2B
"POLYGON ((75.78066549325085 26.949841027747947, 75.78114399060924 26.945176969936856, 75.78618123355577 26.943266718757247, 75.79074038600109 26.94602018333658, 75.79026255920458 26.95068428353317, 75.78522490938768 26.952594876797047, 75.78066549325085 26.949841027747947))",POINT (75.78570308755009 26.94793077701011),,4733959191,POINT (578764.3812929792 2981626.459079767),8634552857.0,RESIDENCY SCHOOL,9A,2551.0,42.51666658163333,11.0,9.5,52.01666658163333,0.5767382258707204,0.5,0.2883691129353602,15656.8296689037,CIVIL LINES,16.0,134,0.3702941788201023,0.6586632917554626,15656.8296689037,B,2,2B
